TRATAMIENTO,REPETICION,OVISACO,NII,NIII,ADULTO
T1,R1,0.00,0.00,0.00,2.00
T1,R2,0.00,0.00,1.00,0.00
T1,R3,0.00,0.00,0.00,1.00
T1,R4,1.00,5.00,3.00,2.00
T1,R5,0.00,0.00,1.00,0.00
T1,R6,0.00,0.00,0.00,2.00
T1,R7,0.00,0.00,1.00,1.00
T1,R8,0.00,0.00,2.00,1.00
T1,R9,0.00,0.00,1.00,0.00
T1,R10,0.00,0.00,0.00,1.00
T1,R11,0.00,0.00,0.00,1.00
T1,R12,0.00,0.00,0.00,2.00
T1,R13,0.00,0.00,0.00,1.00
T1,R14,0.00,0.00,0.00,1.00
T1,R15,2.00,3.00,5.00,2.00
T1,R16,0.00,0.00,1.00,0.00
T1,R17,0.00,0.00,0.00,1.00
T1,R18,0.00,0.00,0.00,1.00
T1,R19,0.00,0.00,0.00,1.00
T1,R20,0.00,2.00,0.00,1.00
T1,R21,0.00,0.00,0.00,1.00
T1,R22,0.00,0.00,1.00,0.00
T1,R23,0.00,0.00,0.00,1.00
T1,R24,0.00,0.00,0.00,2.00
T1,R25,0.00,0.00,0.00,1.00
T1,R26,1.00,3.00,2.00,2.00
T1,R27,0.00,0.00,0.00,1.00
T1,R28,0.00,0.00,0.00,1.00
T1,R29,1.00,4.00,3.00,6.00
T1,R30,0.00,0.00,0.00,1.00
T1,R31,1.00,5.00,2.00,2.00
T1,R32,0.00,0.00,0.00,1.00
T1,R33,0.00,5.00,0.00,3.00
T1,R34,0.00,0.00,0.00,1.00
T1,R35,0.00,0.00,0.00,2.00
T1,R36,0.00,0.00,0.00,1.00
T1,R37,0.00,4.00,4.00,1.00
T1,R38,0.00,0.00,0.00,1.00
T1,R39,0.00,4.00,2.00,1.00
T1,R40,0.00,4.00,2.00,2.00
T2,R1,0.00,0.00,0.00,0.00
T2,R2,0.00,0.00,0.00,0.00
T2,R3,0.00,0.00,0.00,0.00
T2,R4,1.00,0.00,3.00,0.00
T2,R5,0.00,0.00,3.00,0.00
T2,R6,0.00,0.00,0.00,0.00
T2,R7,0.00,0.00,0.00,0.00
T2,R8,0.00,0.00,3.00,0.00
T2,R9,0.00,0.00,1.00,0.00
T2,R10,0.00,0.00,0.00,0.00
T2,R11,0.00,0.00,0.00,0.00
T2,R12,0.00,0.00,0.00,0.00
T2,R13,0.00,0.00,1.00,1.00
T2,R14,0.00,0.00,0.00,0.00
T2,R15,0.00,0.00,0.00,0.00
T2,R16,0.00,0.00,0.00,0.00
T2,R17,0.00,0.00,0.00,0.00
T2,R18,0.00,0.00,0.00,0.00
T2,R19,0.00,0.00,0.00,1.00
T2,R20,0.00,0.00,0.00,0.00
T2,R21,0.00,0.00,0.00,0.00
T2,R22,0.00,0.00,6.00,0.00
T2,R23,0.00,0.00,0.00,0.00
T2,R24,0.00,0.00,0.00,0.00
T2,R25,0.00,0.00,0.00,0.00
T2,R26,0.00,0.00,4.00,0.00
T2,R27,0.00,0.00,0.00,0.00
T2,R28,0.00,0.00,0.00,1.00
T2,R29,0.00,0.00,0.00,0.00
T2,R30,0.00,0.00,0.00,0.00
T2,R31,0.00,0.00,3.00,0.00
T2,R32,0.00,0.00,0.00,0.00
T2,R33,0.00,0.00,0.00,0.00
T2,R34,0.00,0.00,0.00,0.00
T2,R35,0.00,0.00,0.00,0.00
T2,R36,0.00,0.00,0.00,0.00
T2,R37,0.00,0.00,0.00,0.00
T2,R38,0.00,0.00,0.00,0.00
T2,R39,0.00,0.00,0.00,0.00
T2,R40,0.00,0.00,0.00,0.00
T3,R1,0.00,0.00,2.00,0.00
T3,R2,0.00,0.00,0.00,0.00
T3,R3,0.00,0.00,0.00,0.00
T3,R4,0.00,0.00,0.00,0.00
T3,R5,0.00,0.00,0.00,0.00
T3,R6,0.00,0.00,0.00,0.00
T3,R7,1.00,0.00,0.00,0.00
T3,R8,0.00,0.00,0.00,0.00
T3,R9,0.00,0.00,0.00,0.00
T3,R10,0.00,0.00,0.00,0.00
T3,R11,0.00,0.00,0.00,0.00
T3,R12,0.00,0.00,0.00,0.00
T3,R13,0.00,0.00,0.00,0.00
T3,R14,0.00,0.00,0.00,0.00
T3,R15,0.00,0.00,0.00,0.00
T3,R16,0.00,0.00,0.00,0.00
T3,R17,0.00,0.00,0.00,0.00
T3,R18,0.00,0.00,0.00,0.00
T3,R19,0.00,0.00,0.00,0.00
T3,R20,0.00,0.00,0.00,0.00
T3,R21,0.00,2.00,0.00,0.00
T3,R22,0.00,0.00,0.00,0.00
T3,R23,0.00,0.00,0.00,0.00
T3,R24,0.00,0.00,0.00,0.00
T3,R25,0.00,0.00,0.00,0.00
T3,R26,0.00,2.00,1.00,0.00
T3,R27,0.00,0.00,0.00,0.00
T3,R28,0.00,0.00,0.00,0.00
T3,R29,0.00,1.00,1.00,0.00
T3,R30,0.00,0.00,0.00,0.00
T3,R31,0.00,0.00,0.00,0.00
T3,R32,0.00,0.00,0.00,0.00
T3,R33,0.00,1.00,0.00,0.00
T3,R34,0.00,0.00,0.00,0.00
T3,R35,0.00,0.00,0.00,0.00
T3,R36,0.00,1.00,2.00,0.00
T3,R37,0.00,0.00,0.00,0.00
T3,R38,0.00,0.00,0.00,0.00
T3,R39,0.00,1.00,1.00,0.00
T3,R40,0.00,0.00,0.00,0.00
T4,R1,0.00,0.00,0.00,0.00
T4,R2,0.00,0.00,0.00,0.00
T4,R3,0.00,0.00,0.00,0.00
T4,R4,0.00,0.00,0.00,0.00
T4,R5,0.00,0.00,0.00,0.00
T4,R6,0.00,0.00,0.00,0.00
T4,R7,0.00,0.00,0.00,0.00
T4,R8,0.00,0.00,0.00,0.00
T4,R9,0.00,0.00,0.00,0.00
T4,R10,0.00,0.00,0.00,0.00
T4,R11,0.00,0.00,3.00,0.00
T4,R12,0.00,0.00,0.00,1.00
T4,R13,0.00,2.00,4.00,1.00
T4,R14,0.00,0.00,0.00,0.00
T4,R15,0.00,0.00,1.00,1.00
T4,R16,0.00,0.00,0.00,0.00
T4,R17,0.00,2.00,1.00,0.00
T4,R18,0.00,0.00,0.00,0.00
T4,R19,0.00,0.00,0.00,0.00
T4,R20,0.00,0.00,0.00,0.00
T4,R21,0.00,0.00,1.00,1.00
T4,R22,0.00,0.00,0.00,0.00
T4,R23,0.00,0.00,0.00,0.00
T4,R24,0.00,0.00,0.00,0.00
T4,R25,0.00,0.00,0.00,0.00
T4,R26,0.00,0.00,0.00,0.00
T4,R27,0.00,0.00,0.00,0.00
T4,R28,0.00,0.00,0.00,0.00
T4,R29,0.00,0.00,0.00,0.00
T4,R30,0.00,0.00,6.00,0.00
T4,R31,0.00,0.00,0.00,0.00
T4,R32,0.00,0.00,0.00,1.00
T4,R33,0.00,0.00,0.00,0.00
T4,R34,0.00,0.00,0.00,0.00
T4,R35,0.00,0.00,0.00,0.00
T4,R36,0.00,0.00,0.00,0.00
T4,R37,0.00,0.00,0.00,0.00
T4,R38,0.00,0.00,0.00,0.00
T4,R39,0.00,0.00,0.00,0.00
T4,R40,0.00,0.00,0.00,0.00
T5,R1,0.00,0.00,0.00,0.00
T5,R2,0.00,0.00,0.00,0.00
T5,R3,0.00,0.00,0.00,0.00
T5,R4,0.00,0.00,0.00,0.00
T5,R5,0.00,0.00,0.00,0.00
T5,R6,0.00,0.00,0.00,0.00
T5,R7,0.00,0.00,0.00,0.00
T5,R8,0.00,0.00,0.00,0.00
T5,R9,0.00,0.00,0.00,0.00
T5,R10,0.00,0.00,0.00,0.00
T5,R11,0.00,0.00,0.00,0.00
T5,R12,0.00,0.00,0.00,0.00
T5,R13,0.00,0.00,0.00,0.00
T5,R14,0.00,0.00,0.00,0.00
T5,R15,0.00,0.00,0.00,1.00
T5,R16,0.00,0.00,0.00,1.00
T5,R17,0.00,0.00,0.00,0.00
T5,R18,0.00,0.00,0.00,0.00
T5,R19,0.00,0.00,0.00,1.00
T5,R20,0.00,0.00,0.00,0.00
T5,R21,0.00,1.00,2.00,3.00
T5,R22,0.00,0.00,0.00,0.00
T5,R23,0.00,0.00,0.00,0.00
T5,R24,0.00,0.00,0.00,0.00
T5,R25,2.00,0.00,1.00,0.00
T5,R26,0.00,0.00,0.00,0.00
T5,R27,0.00,0.00,0.00,0.00
T5,R28,0.00,0.00,0.00,0.00
T5,R29,0.00,1.00,1.00,0.00
T5,R30,0.00,0.00,0.00,1.00
T5,R31,0.00,0.00,0.00,1.00
T5,R32,0.00,0.00,0.00,0.00
T5,R33,0.00,0.00,1.00,2.00
T5,R34,0.00,0.00,0.00,0.00
T5,R35,0.00,0.00,0.00,0.00
T5,R36,0.00,0.00,0.00,0.00
T5,R37,0.00,0.00,0.00,0.00
T5,R38,0.00,0.00,0.00,0.00
T5,R39,0.00,0.00,0.00,0.00
T5,R40,0.00,0.00,0.00,0.00
T6,R1,0.00,0.00,0.00,0.00
T6,R2,0.00,0.00,0.00,0.00
T6,R3,0.00,0.00,0.00,0.00
T6,R4,0.00,0.00,0.00,0.00
T6,R5,0.00,0.00,0.00,0.00
T6,R6,0.00,0.00,0.00,0.00
T6,R7,0.00,0.00,0.00,0.00
T6,R8,0.00,0.00,0.00,0.00
T6,R9,0.00,0.00,0.00,0.00
T6,R10,0.00,0.00,0.00,0.00
T6,R11,0.00,0.00,0.00,0.00
T6,R12,0.00,0.00,0.00,0.00
T6,R13,0.00,0.00,0.00,0.00
T6,R14,0.00,0.00,0.00,0.00
T6,R15,0.00,0.00,0.00,0.00
T6,R16,0.00,0.00,0.00,0.00
T6,R17,0.00,0.00,0.00,0.00
T6,R18,0.00,0.00,0.00,0.00
T6,R19,1.00,3.00,0.00,0.00
T6,R20,1.00,0.00,0.00,0.00
T6,R21,0.00,0.00,0.00,0.00
T6,R22,0.00,0.00,0.00,0.00
T6,R23,0.00,0.00,0.00,0.00
T6,R24,0.00,0.00,0.00,0.00
T6,R25,0.00,0.00,0.00,0.00
T6,R26,0.00,0.00,1.00,1.00
T6,R27,0.00,0.00,0.00,0.00
T6,R28,0.00,0.00,0.00,0.00
T6,R29,0.00,0.00,0.00,0.00
T6,R30,0.00,0.00,0.00,0.00
T6,R31,0.00,0.00,0.00,0.00
T6,R32,1.00,0.00,2.00,1.00
T6,R33,0.00,0.00,0.00,0.00
T6,R34,0.00,0.00,0.00,0.00
T6,R35,0.00,0.00,0.00,0.00
T6,R36,0.00,0.00,3.00,0.00
T6,R37,0.00,0.00,0.00,0.00
T6,R38,0.00,0.00,0.00,0.00
T6,R39,0.00,0.00,0.00,0.00
T6,R40,0.00,0.00,0.00,0.00
